1;932;53;51.59099818433149;24;65
2;827;80;61.03720063178409;30;43
3;753;70;60.73404976094129;8;59
4;715;79;56.90629683492358;30;71
5;643;65;64.17222414929122;37;12
6;621;78;61.11894094289855;36;6
7;988;72;61.63268393120787;4;26
8;1244;95;67.46498808696703;14;6
9;1187;54;57.16901799433418;31;70
10;975;37;67.6656607668698;9;69
11;1061;27;51.62517971601929;1;25
12;907;26;61.24848895801996;13;49
13;866;46;62.66261692706907;35;38
14;750;97;67.47758122425131;1;16
15;754;46;64.03527342798537;33;69
16;606;64;64.78001122570811;20;49
17;1399;21;69.93734371350435;23;35
18;778;79;58.4255946522942;25;21
19;961;50;66.28543295971218;3;43
20;1419;93;56.23566863318778;2;57
21;1082;72;57.054146501091275;10;64
22;1333;74;66.22991330723237;3;73
23;858;46;64.88421730124982;1;12
24;640;27;62.66267305616084;40;41
25;1182;77;56.24343475962502;6;45
26;899;45;67.34483821292925;18;30
27;834;57;64.63422519452737;14;21
28;889;37;54.26648779395947;6;1
29;1238;76;54.84193060491792;33;63
30;884;44;57.69437833999519;4;14
31;852;91;60.92227828170134;12;75
