1;760;57;51.56369671903799;19;10
1;1259;100;68.34883591227633;33;15
2;1417;30;54.12639634788406;23;29
3;1039;65;62.252410785557956;33;20
3;1100;83;59.43615402488646;29;23
4;1425;84;52.921203040377925;6;55
4;839;28;63.8138393728183;10;17
5;974;47;68.7189057487931;39;13
6;663;46;59.02249955697336;14;41
7;675;67;63.122476247607295;36;15
7;795;39;60.12266861653959;19;20
8;866;27;54.24133429589804;38;70
8;1121;72;63.80664407831321;25;40
9;977;68;67.89971893496616;3;18
9;1051;55;54.14091016424999;20;54
10;1011;40;65.3472432602919;39;73
11;1264;81;58.25805662880687;36;16
11;1106;63;64.24569441619946;28;4
12;1074;75;54.083336142239;19;19
12;1072;62;61.15796761166881;26;10
13;1201;86;59.11297164855395;34;41
14;746;37;52.25686074326611;13;52
14;1276;54;59.09338921563709;24;58
15;1197;53;53.55636403151393;24;5
15;781;77;57.56294923480412;17;66
16;1025;59;56.058283920060255;26;56
16;1146;44;64.7748583708674;37;23
17;1248;96;50.11715000708915;39;40
17;1056;20;65.98062591649818;33;15
18;745;52;51.09939268933012;7;31
19;1386;62;54.40590306517565;24;22
19;806;71;51.13506403890416;8;60
20;888;29;61.83460594240768;9;34
21;1485;68;66.51794269246318;21;20
22;1224;97;50.04727538794798;34;7
22;1283;88;69.41400749381008;20;8
23;637;46;56.947802251774775;38;29
23;1412;56;69.6315915686368;37;75
24;871;69;62.538091022394305;20;13
24;1151;89;52.706829366243205;12;41
25;723;98;68.11645091621519;13;67
25;959;60;69.95924185222995;9;62
26;1045;56;66.44404455550664;31;49
26;1096;23;51.98915447321913;24;50
27;1230;30;66.24921396276693;4;59
28;1005;70;52.21058922876747;23;26
29;658;27;59.59884306468771;3;45
29;1389;74;66.26268877669352;37;43
30;1452;95;65.50822199774076;26;74
30;783;47;58.90306291255006;22;8
31;1294;27;55.94212973246129;20;22
31;891;84;67.15845954541373;36;20
